	region
9955x16084	1.0
9643x16264	1.0
9955x16443	1.0
9643x16623	1.0
9956x16802	1.0
9643x16982	1.0
9956x17161	0.0
9644x17341	0.0
9956x17520	0.0
9644x17699	0.0
9956x17879	0.0
9644x18058	0.0
9956x18238	0.0
9644x18417	0.0
9956x18596	0.0
9644x18776	0.0
9957x18955	0.0
9644x19135	0.0
9957x19314	0.0
9645x19494	0.0
9957x19673	0.0
9645x19853	0.0
9957x20032	0.0
9645x20211	0.0
9957x20391	0.0
9645x20570	0.0
9957x20750	0.0
9645x20929	0.0
9958x21108	0.0
9645x21288	0.0
9958x21467	0.0
9646x21647	0.0
9958x21826	0.0
9646x22006	0.0
9958x22185	0.0
9646x22365	0.0
9958x22544	0.0
9646x22723	0.0
9958x22903	0.0
9646x23082	0.0
9959x23262	0.0
9646x23441	0.0
9959x23620	0.0
9647x23800	0.0
9959x23979	0.0
9647x24159	0.0
9959x24338	0.0
9647x24518	0.0
9959x24697	0.0
9647x24877	0.0
9959x25056	0.0
9647x25235	0.0
9960x25415	0.0
10576x8548	1.0
10264x8728	1.0
10576x8907	1.0
10264x9087	1.0
10576x9266	1.0
10264x9445	1.0
10577x9625	1.0
10264x9804	1.0
10577x9984	1.0
10265x10163	1.0
10577x10342	1.0
10265x10522	1.0
10577x10701	1.0
10265x10881	1.0
10577x11060	1.0
10265x11240	1.0
10577x11419	1.0
10265x11599	1.0
10578x11778	1.0
10265x11957	1.0
10578x12137	1.0
10266x12316	1.0
10578x12496	1.0
10266x12675	1.0
10578x12854	1.0
10266x13034	1.0
10578x13213	1.0
10266x13393	1.0
10578x13572	1.0
10266x13752	1.0
10579x13931	0.0
10266x14111	1.0
10579x14290	0.0
10267x14469	0.0
10579x14649	0.0
10267x14828	0.0
10579x15008	0.0
10267x15187	0.0
10579x15366	1.0
10267x15546	0.0
10579x15725	1.0
10267x15905	1.0
10580x16084	1.0
10267x16264	1.0
10580x16443	1.0
10268x16623	1.0
10580x16802	0.0
10268x16981	0.0
10580x17161	0.0
10268x17340	0.0
10580x17520	0.0
10268x17699	0.0
10580x17878	0.0
10268x18058	0.0
10581x18237	0.0
10268x18417	0.0
10581x18596	0.0
10269x18776	0.0
10581x18955	0.0
10269x19135	0.0
10581x19314	0.0
10269x19493	0.0
10581x19673	0.0
10269x19852	0.0
10581x20032	0.0
10269x20211	0.0
10582x20390	0.0
10269x20570	0.0
10582x20749	0.0
10270x20929	0.0
10582x21108	0.0
10270x21288	0.0
10582x21467	0.0
10270x21647	0.0
10582x21826	0.0
10270x22005	0.0
10582x22185	0.0
10270x22364	0.0
10583x22544	0.0
10270x22723	0.0
10583x22902	0.0
10271x23082	0.0
10583x23261	0.0
10271x23441	0.0
10583x23620	0.0
10271x23800	0.0
10583x23979	0.0
10271x24159	0.0
10583x24338	0.0
10271x24517	0.0
10584x24697	0.0
10271x24876	0.0
10584x25056	0.0
10272x25235	0.0
10584x25414	0.0
11200x7830	1.0
10888x8010	1.0
11200x8189	1.0
10888x8369	1.0
11200x8548	1.0
10888x8727	1.0
11201x8907	1.0
10889x9086	1.0
11201x9266	1.0
10889x9445	1.0
11201x9624	1.0
10889x9804	1.0
11201x9983	1.0
10889x10163	1.0
11201x10342	1.0
10889x10522	1.0
11201x10701	1.0
10889x10881	1.0
11202x11060	1.0
10890x11239	1.0
11202x11419	1.0
10890x11598	1.0
11202x11778	1.0
10890x11957	1.0
11202x12136	1.0
10890x12316	1.0
11202x12495	1.0
10890x12675	1.0
11202x12854	0.0
10890x13034	1.0
11203x13213	0.0
10891x13393	0.0
11203x13572	0.0
10891x13751	0.0
11203x13931	0.0
10891x14110	0.0
11203x14290	0.0
10891x14469	0.0
11203x14648	0.0
10891x14828	0.0
11203x15007	0.0
10891x15187	0.0
11204x15366	0.0
10892x15546	1.0
11204x15725	1.0
10892x15905	1.0
11204x16084	1.0
10892x16263	1.0
11204x16443	0.0
10892x16622	0.0
11204x16802	0.0
10892x16981	0.0
11204x17160	0.0
10892x17340	0.0
11205x17519	0.0
10893x17699	0.0
11205x17878	0.0
10893x18058	0.0
11205x18237	0.0
10893x18417	0.0
11205x18596	0.0
10893x18775	0.0
11205x18955	0.0
10893x19134	0.0
11206x19314	0.0
10893x19493	0.0
