	region
14793x13730	1.0
15111x13912	1.0
14794x14095	1.0
15112x14277	1.0
14795x14460	1.0
15113x14642	1.0
14796x14825	1.0
15114x15007	1.0
14797x15190	1.0
15115x15372	1.0
14798x15556	1.0
15116x15737	1.0
14799x15921	1.0
15117x16102	1.0
14800x16286	1.0
15118x16468	1.0
14801x16651	1.0
15119x16833	0.0
14802x17016	1.0
15120x17198	0.0
14803x17381	0.0
15121x17563	0.0
14804x17746	0.0
15122x17928	0.0
14805x18111	0.0
15123x18293	0.0
14806x18477	0.0
15124x18658	0.0
14807x18842	0.0
15125x19023	0.0
14808x19207	0.0
15126x19388	0.0
14809x19572	0.0
15127x19754	0.0
14810x19937	0.0
15128x20119	0.0
14811x20302	0.0
15129x20484	0.0
14812x20667	0.0
15130x20849	1.0
14813x21032	1.0
15131x21214	1.0
14814x21397	1.0
15132x21579	1.0
14815x21763	1.0
15133x21944	0.0
14816x22128	1.0
15134x22309	0.0
14817x22493	0.0
15135x22675	0.0
14818x22858	0.0
15136x23040	0.0
14818x23223	0.0
15137x23405	0.0
14819x23588	0.0
15138x23770	0.0
14820x23953	0.0
15139x24135	0.0
14821x24318	0.0
15140x24500	0.0
14822x24684	0.0
15141x24865	0.0
14823x25049	0.0
15141x25230	0.0
14824x25414	0.0
15142x25596	0.0
14825x25779	0.0
15143x25961	0.0
14826x26144	0.0
15144x26326	0.0
14827x26509	0.0
15145x26691	0.0
14828x26874	0.0
15146x27056	0.0
14829x27239	0.0
15147x27421	0.0
14830x27605	0.0
15148x27786	0.0
15740x11354	1.0
15423x11538	1.0
15741x11719	1.0
15424x11903	1.0
15742x12084	1.0
15425x12268	1.0
15743x12450	1.0
15426x12633	1.0
15744x12815	1.0
15427x12998	1.0
15745x13180	1.0
15428x13363	1.0
15746x13545	1.0
15429x13728	1.0
15747x13910	1.0
15430x14093	1.0
15748x14275	1.0
15431x14459	1.0
15749x14640	1.0
15432x14824	1.0
15750x15005	1.0
15432x15189	1.0
15751x15371	1.0
15433x15554	1.0
15752x15736	1.0
15434x15919	1.0
15753x16101	0.0
15435x16284	1.0
15754x16466	0.0
15436x16649	0.0
15754x16831	0.0
15437x17014	0.0
15755x17196	0.0
15438x17379	0.0
15756x17561	0.0
15439x17745	0.0
15757x17926	0.0
15440x18110	0.0
15758x18291	0.0
15441x18475	0.0
15759x18657	0.0
15442x18840	0.0
15760x19022	0.0
15443x19205	0.0
15761x19387	0.0
15444x19570	0.0
15762x19752	0.0
15445x19935	0.0
15763x20117	0.0
15446x20300	0.0
15764x20482	0.0
15447x20666	0.0
15765x20847	0.0
15448x21031	0.0
15766x21212	0.0
15449x21396	0.0
15767x21578	0.0
15450x21761	0.0
15768x21943	0.0
15451x22126	0.0
15769x22308	0.0
15452x22491	0.0
15770x22673	0.0
15453x22856	0.0
15771x23038	0.0
15454x23221	0.0
15772x23403	0.0
15455x23587	0.0
15773x23768	0.0
15456x23952	0.0
15774x24133	0.0
15457x24317	0.0
15775x24498	0.0
15458x24682	0.0
15776x24864	0.0
15459x25047	0.0
15777x25229	0.0
15460x25412	0.0
15778x25594	0.0
15461x25777	0.0
15779x25959	0.0
15462x26142	0.0
15780x26324	0.0
15463x26507	0.0
15781x26689	0.0
15463x26873	0.0
15782x27054	0.0
15464x27238	0.0
15783x27419	0.0
15465x27603	0.0
15784x27785	0.0
16374x10987	1.0
16057x11171	1.0
16375x11353	1.0
16058x11536	1.0
16376x11718	1.0
16059x11901	1.0
16377x12083	1.0
16060x12266	1.0
16378x12448	1.0
16061x12631	1.0
16379x12813	1.0
16062x12996	1.0
16380x13178	1.0
16063x13362	1.0
16381x13543	1.0
16064x13727	1.0
16382x13908	1.0
16065x14092	1.0
16383x14273	1.0
16066x14457	1.0
16384x14639	1.0
16067x14822	1.0
16385x15004	1.0
16068x15187	1.0
16386x15369	1.0
16069x15552	1.0
16387x15734	0.0
16070x15917	0.0
16388x16099	0.0
16071x16282	0.0
16389x16464	0.0
16072x16648	0.0
16390x16829	0.0
16073x17013	0.0
16391x17194	0.0
16074x17378	0.0
16392x17560	0.0
16075x17743	0.0
16393x17925	0.0
16076x18108	0.0
16394x18290	0.0
16077x18473	0.0
16395x18655	0.0
16077x18838	0.0
16396x19020	0.0
16078x19203	0.0
16397x19385	0.0
16079x19569	0.0
16398x19750	0.0
16080x19934	0.0
16399x20115	0.0
16081x20299	0.0
16399x20480	0.0
16082x20664	0.0
16400x20846	0.0
16083x21029	0.0
16401x21211	0.0
16084x21394	0.0
16402x21576	0.0
16085x21759	0.0
16403x21941	0.0
16086x22124	0.0
16404x22306	0.0
16087x22489	0.0
16405x22671	0.0
16088x22855	0.0
16406x23036	0.0
16089x23220	0.0
16407x23401	0.0
16090x23585	0.0
16408x23767	0.0
16091x23950	0.0
16409x24132	0.0
